order_id,order_date,category,product_price,quantity,discount_pct,revenue,region,payment_method,customer_age,is_returned,rating,month,month_name,day_of_week,quarter
ORD100000,2023-02-27 00:47:00,Beauty,1049.01,2,5,1993.13,East,UPI,56,0,2,2,Feb,Monday,1
ORD100001,2023-02-22 21:47:00,Clothing,1130.87,1,0,1130.87,Central,UPI,57,0,1,2,Feb,Wednesday,1
ORD100002,2023-01-17 00:05:00,Home & Kitchen,1735.3,1,0,1735.3,South,UPI,39,0,1,1,Jan,Tuesday,1
ORD100003,2023-01-14 17:12:00,Sports,1432.38,1,0,1432.38,Central,Credit Card,45,1,3,1,Jan,Saturday,1
ORD100004,2023-10-29 08:51:00,Home & Kitchen,2377.66,1,20,1902.13,North,Debit Card,20,0,4,10,Oct,Sunday,4
ORD100005,2023-12-24 13:21:00,Clothing,816.01,1,0,816.01,East,UPI,42,1,5,12,Dec,Sunday,4
ORD100006,2023-02-22 02:24:00,Books,309.9,2,5,588.82,North,UPI,24,0,5,2,Feb,Wednesday,1
ORD100007,2023-11-06 08:51:00,Books,356.25,1,0,356.25,North,Debit Card,57,0,4,11,Nov,Monday,4
ORD100008,2023-03-05 12:05:00,Sports,2026.1,1,10,1823.49,Central,UPI,61,1,5,3,Mar,Sunday,1
ORD100009,2023-11-13 11:36:00,Beauty,481.97,2,15,819.36,South,Debit Card,25,0,4,11,Nov,Monday,4
ORD100010,2023-12-05 07:49:00,Electronics,9290.46,2,20,14864.73,East,COD,62,0,5,12,Dec,Tuesday,4
ORD100011,2023-02-21 12:17:00,Clothing,2020.89,1,20,1616.71,West,Debit Card,41,0,3,2,Feb,Tuesday,1
ORD100012,2023-03-25 11:22:00,Books,539.59,2,15,917.3,South,Debit Card,58,0,5,3,Mar,Saturday,1
ORD100013,2023-12-16 20:04:00,Beauty,1103.33,1,0,1103.33,Central,Debit Card,40,0,4,12,Dec,Saturday,4
ORD100014,2023-05-06 05:29:00,Sports,698.09,2,0,1396.18,West,UPI,64,0,5,5,May,Saturday,2
ORD100015,2023-12-19 17:14:00,Beauty,1091.39,2,10,1964.49,East,Net Banking,56,0,5,12,Dec,Tuesday,4
ORD100016,2023-04-28 01:51:00,Electronics,8048.4,1,15,6841.14,East,Credit Card,49,0,3,4,Apr,Friday,2
ORD100017,2023-04-19 18:56:00,Electronics,5603.33,2,5,10646.32,East,UPI,46,0,2,4,Apr,Wednesday,2
ORD100018,2023-07-22 20:29:00,Home & Kitchen,1553.21,4,10,5591.54,South,UPI,23,0,3,7,Jul,Saturday,3
ORD100019,2023-10-15 17:16:00,Clothing,949.12,1,15,806.75,Central,Credit Card,45,0,5,10,Oct,Sunday,4
ORD100020,2023-07-24 11:14:00,Sports,2394.94,1,0,2394.94,South,Credit Card,20,0,4,7,Jul,Monday,3
ORD100021,2023-01-25 03:09:00,Electronics,4566.03,1,0,4566.03,South,Debit Card,59,0,5,1,Jan,Wednesday,1
ORD100022,2023-11-02 02:24:00,Home & Kitchen,2371.95,2,0,4743.9,West,Credit Card,29,0,4,11,Nov,Thursday,4
ORD100023,2023-09-28 08:35:00,Home & Kitchen,582.15,1,0,582.15,North,Debit Card,34,0,5,9,Sep,Thursday,3
ORD100024,2023-12-16 17:48:00,Electronics,7174.7,1,5,6815.97,East,Debit Card,19,0,4,12,Dec,Saturday,4
ORD100025,2023-02-27 09:27:00,Books,387.38,2,5,736.01,South,Credit Card,28,0,3,2,Feb,Monday,1
ORD100026,2023-05-15 16:48:00,Beauty,858.81,5,0,4294.06,South,Credit Card,33,0,4,5,May,Monday,2
ORD100027,2023-11-17 09:53:00,Electronics,12703.96,1,0,12703.96,Central,Credit Card,37,0,3,11,Nov,Friday,4
ORD100028,2023-07-11 05:34:00,Clothing,1643.76,1,0,1643.76,Central,COD,58,0,4,7,Jul,Tuesday,3
ORD100029,2023-06-15 15:01:00,Sports,2223.84,4,0,8895.35,North,COD,45,0,3,6,Jun,Thursday,2
ORD100030,2023-05-03 01:15:00,Books,680.85,1,0,680.85,Central,COD,19,1,5,5,May,Wednesday,2
ORD100031,2023-09-06 02:48:00,Electronics,9689.12,2,15,16471.51,Central,Debit Card,26,0,5,9,Sep,Wednesday,3
ORD100032,2023-12-04 15:35:00,Clothing,1254.36,1,15,1066.2,South,UPI,28,1,5,12,Dec,Monday,4
ORD100033,2023-08-05 06:59:00,Sports,1874.03,2,5,3560.67,Central,Debit Card,42,0,1,8,Aug,Saturday,3
ORD100034,2023-04-13 22:19:00,Beauty,952.45,2,10,1714.41,West,COD,58,0,1,4,Apr,Thursday,2
ORD100035,2023-07-11 14:57:00,Beauty,534.94,1,0,534.94,Central,Credit Card,25,0,4,7,Jul,Tuesday,3
ORD100036,2023-04-26 02:21:00,Clothing,766.18,1,0,766.18,North,Credit Card,63,0,5,4,Apr,Wednesday,2
ORD100037,2023-10-29 07:00:00,Clothing,1272.93,1,15,1081.99,North,Debit Card,44,0,4,10,Oct,Sunday,4
ORD100038,2023-04-28 02:57:00,Electronics,7706.03,1,10,6935.43,North,Net Banking,36,0,5,4,Apr,Friday,2
ORD100039,2023-09-21 07:17:00,Electronics,16660.51,1,20,13328.41,West,UPI,47,1,5,9,Sep,Thursday,3
ORD100040,2023-10-20 18:30:00,Clothing,1137.93,5,20,4551.74,South,Debit Card,50,0,4,10,Oct,Friday,4
ORD100041,2023-04-08 03:06:00,Home & Kitchen,2792.27,1,0,2792.27,West,UPI,20,0,4,4,Apr,Saturday,2
ORD100042,2023-08-28 23:03:00,Home & Kitchen,2338.54,2,0,4677.09,North,UPI,49,0,4,8,Aug,Monday,3
